country,sex,measure,model,year,projection,PI_lower,PI_upper
China,Both,ASDR,APC,2049,441.91625911622185,432.01921399741406,452.0400337389732
China,Both,ASDR,APC,2050,443.5111479543655,433.57838410725805,453.67145957889636
China,Both,ASDR,APC,2051,445.119583506444,435.15079754224706,455.3167424718195
China,Both,ASDR,APC,2052,446.7416713073385,436.73655747372976,456.9759903703022
China,Both,ASDR,APC,2053,448.37751799373734,438.33576815018614,458.64931235395215
China,Male,ASPR,ARIMA,2024,8262.2665150303,8231.075421935131,8293.457608125469
China,Male,ASPR,ARIMA,2025,8053.285825207932,7933.5677530780185,8173.003897337846
China,Male,ASPR,ARIMA,2026,7844.305135385565,7591.84741778855,8096.762852982581
China,Male,ASPR,ARIMA,2027,7635.3244455631975,7220.665409287634,8049.983481838761
China,Male,ASPR,ARIMA,2028,7426.34375574083,6824.915577731443,8027.771933750217
China,Male,ASPR,ARIMA,2029,7217.363065918462,6407.5372235748355,8027.188908262088
China,Male,ASPR,ARIMA,2030,7008.382376096094,5970.591440418907,8046.173311773281
China,Male,ASPR,ARIMA,2031,6799.401686273726,5515.636118898075,8083.167253649377
China,Male,ASPR,ARIMA,2032,6590.420996451358,5043.905009698719,8136.936983203997
China,Male,ASPR,ARIMA,2033,6381.440306628991,4556.407483083796,8206.473130174185
China,Male,ASPR,ARIMA,2034,6172.459616806623,4053.98961557365,8290.929618039596
China,Male,ASPR,ARIMA,2035,5963.478926984255,3537.374127199488,8389.583726769022
China,Male,ASPR,ARIMA,2036,5754.498237161887,3007.1877974411714,8501.808676882603
China,Male,ASPR,ARIMA,2037,5545.517547339519,2463.98101680148,8627.054077877558
China,Male,ASPR,ARIMA,2038,5336.5368575171515,1908.2421655453886,8764.831549488914
China,Male,ASPR,ARIMA,2039,5127.556167694784,1340.408460644052,8914.703874745515
China,Male,ASPR,ARIMA,2040,4918.575477872416,760.8743156878254,9076.276640057007
China,Male,ASPR,ARIMA,2041,4709.594788050048,169.99790319635576,9249.19167290374
China,Male,ASPR,ARIMA,2042,4500.61409822768,-431.89361172914323,9433.121808184504
China,Male,ASPR,ARIMA,2043,4291.633408405312,-1044.4998390313267,9627.766655841951
China,Male,ASPR,ARIMA,2044,4082.6527185829445,-1667.543698823687,9832.849135989576
China,Male,ASPR,ARIMA,2045,3873.6720287605767,-2300.768553736976,10048.11261125813
China,Male,ASPR,ARIMA,2046,3664.691338938209,-2943.9358122518042,10273.318490128222
China,Male,ASPR,ARIMA,2047,3455.710649115841,-3596.8229079579924,10508.244206189675
China,Male,ASPR,ARIMA,2048,3246.7299592934733,-4259.221582140157,10752.681500727103
China,Male,ASPR,ARIMA,2049,3037.7492694711054,-4930.936413530521,11006.434952472733
China,Male,ASPR,ARIMA,2050,2828.7685796487376,-5611.783551282347,11269.320710579821
China,Male,ASPR,ARIMA,2051,2619.78788982637,-6301.589616408728,11541.165396061468
China,Male,ASPR,ARIMA,2052,2410.807200004002,-7000.190743933136,11821.80514394114
China,Male,ASPR,ARIMA,2053,2201.826510181634,-7707.431743390982,12111.08476375425
China,Male,ASPR,ETS,2024,8366.480785814952,8314.449143341026,8418.51242828888
China,Male,ASPR,ETS,2025,8302.7337717739,8229.149917314726,8376.317626233073
China,Male,ASPR,ETS,2026,8238.986757732846,8148.865309366747,8329.108206098945
China,Male,ASPR,ETS,2027,8175.239743691793,8071.176458743941,8279.303028639644
China,Male,ASPR,ETS,2028,8111.492729650739,7995.146440098076,8227.839019203404
China,Male,ASPR,ETS,2029,8047.745715609686,7920.294741069643,8175.196690149729
China,Male,ASPR,ETS,2030,7983.998701568633,7846.3359152764,8121.661487860866
China,Male,ASPR,ETS,2031,7920.25168752758,7773.083978609231,8067.419396445928
China,Male,ASPR,ETS,2032,7856.504673486526,7700.409746064748,8012.599600908305
China,Male,ASPR,ETS,2033,7792.757659445473,7628.2191588283085,7957.296160062638
China,Male,ASPR,ETS,2034,7729.01064540442,7556.441210092488,7901.580080716351
China,Male,ASPR,ETS,2035,7665.263631363367,7485.020734631169,7845.506528095564
China,Male,ASPR,ETS,2036,7601.516617322313,7413.913862435963,7789.119372208664
China,Male,ASPR,ETS,2037,7537.76960328126,7343.085023872714,7732.454182689806
China,Male,ASPR,ETS,2038,7474.022589240207,7272.504904462873,7675.5402740175405
China,Male,ASPR,ETS,2039,7410.2755751991535,7202.1490053034495,7618.402145094858
China,Male,ASPR,ETS,2040,7346.5285611581,7131.996603363729,7561.060518952471
China,Male,ASPR,ETS,2041,7282.781547117047,7062.029983739525,7503.533110494569
China,Male,ASPR,ETS,2042,7219.034533075994,6992.233861665712,7445.835204486276
China,Male,ASPR,ETS,2043,7155.2875190349405,6922.594939929613,7387.980098140268
China,Male,ASPR,ETS,2044,7091.540504993887,6853.101564824242,7329.979445163533
China,Male,ASPR,ETS,2045,7027.793490952834,6783.743455083633,7271.843526822035
China,Male,ASPR,ETS,2046,6964.046476911781,6714.511485725589,7213.581468097972
China,Male,ASPR,ETS,2047,6900.299462870727,6645.397513790641,7155.201411950814
China,Male,ASPR,ETS,2048,6836.552448829674,6576.394236460044,7096.710661199304
China,Male,ASPR,ETS,2049,6772.805434788621,6507.49507448979,7038.115795087452
China,Male,ASPR,ETS,2050,6709.058420747568,6438.694075649272,6979.422765845863
China,Male,ASPR,ETS,2051,6645.311406706514,6369.985834122047,6920.636979290982
China,Male,ASPR,ETS,2052,6581.564392665461,6301.36542275747,6861.7633625734525
China,Male,ASPR,ETS,2053,6517.817378624408,6232.828335754276,6802.80642149454
China,Male,ASPR,APC,2024,8590.074995921908,8406.807386144676,8777.337822343312
China,Male,ASPR,APC,2025,8633.042530764136,8448.858216835626,8821.242045401035
China,Male,ASPR,APC,2026,8677.30856895042,8492.179847549733,8866.473079053503
China,Male,ASPR,APC,2027,8722.89085375485,8536.789643011723,8913.04905337651
China,Male,ASPR,APC,2028,8769.807714988721,8582.705541969866,8960.988697769508
China,Male,ASPR,APC,2029,8818.078081269932,8629.946069203615,9010.311353492489
China,Male,ASPR,APC,2030,8867.721492718627,8678.530347948381,9061.036986638373
China,Male,ASPR,APC,2031,8918.758114116288,8728.478112773882,9113.186201578987
China,Male,ASPR,APC,2032,8971.208748521763,8779.80972290968,9166.780254877896
China,Male,ASPR,APC,2033,9025.094851370593,8832.546176043692,9221.841069697122
China,Male,ASPR,APC,2034,9080.438545060912,8886.709122596916,9278.391250700994
China,Male,ASPR,APC,2035,9137.262634042221,8942.320880490275,9336.454099473865
China,Male,ASPR,APC,2036,9195.59062042864,8999.404450424774,9396.053630473734
China,Male,ASPR,APC,2037,9255.446720142303,9057.983531680471,9457.214587527556
China,Male,ASPR,APC,2038,9316.855879604936,9118.082538451947,9519.962460886703
China,Male,ASPR,APC,2039,9379.843792997803,9179.726616740016,9584.32350486317
China,Male,ASPR,APC,2040,9444.436920101527,9242.941661810934,9650.324756058313
China,Male,ASPR,APC,2041,9510.662504736689,9307.754336243572,9717.994052205433
China,Male,ASPR,APC,2042,9578.548593816708,9374.192088575805,9787.360051638021
China,Male,ASPR,APC,2043,9648.124057045574,9442.283172582005,9858.452253416901
